Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
1977,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,GB,XX,60,,ivory carvings,sets,,
1977,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,HK,XX,22,,ivory carvings,kg,,
1977,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,IN,XX,144,,ivory carvings,kg,,
1977,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,NG,,2,,tusks,,,
1977,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,TH,XX,100,,ivory carvings,g,,
1977,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,ZM,,8,,ivory carvings,kg,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,BW,,2,,skins,cases,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,DE,XX,2,,ivory carvings,kg,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,DE,XX,3,,ivory carvings,,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,GB,XX,240,,ivory carvings,sets,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,HK,XX,842,,ivory carvings,kg,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,IN,XX,73,,ivory carvings,kg,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,IN,XX,67,,ivory carvings,,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,KE,,1,,feet,,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,KE,,545,,hair products,,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,KE,,110,,ivory carvings,,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,KE,,8,,tusks,kg,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,LK,,4,,hair products,,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,LR,,8,,tusks,kg,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,SE,XX,1,,ivory carvings,,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,TH,XX,78,,ivory carvings,kg,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,TZ,,7,,ivory carvings,kg,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,XX,,24,,tusks,kg,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,ZA,,1,,feet,,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,ZM,,11,,ivory carvings,kg,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,ZM,,1,,ivory carvings,,,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,XX,,107,,carvings,,,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,XX,,114,,ivory carvings,,,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,XX,,14,,tusks,,,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,DE,XX,10,,ivory carvings,g,T,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,FR,XX,400,,ivory carvings,g,T,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,GB,XX,240,,ivory carvings,sets,T,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,GB,XX,33,,ivory pieces,kg,T,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,GB,XX,1,,skins,,T,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,HK,XX,128,,ivory carvings,kg,T,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,HK,XX,23,,ivory carvings,,T,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,IN,XX,229,,ivory carvings,kg,T,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,SG,XX,7,,ivory carvings,,T,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,TH,XX,147,,ivory carvings,kg,T,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,US,XX,100,,ivory carvings,g,P,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,US,XX,50,,ivory carvings,g,T,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,CH,XX,,211,ivory carvings,,,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,MC,CH,XX,,1,ivory carvings,,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,FR,,4,,tusks,,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,NP,,3,,ivory carvings,,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,US,,78,,live,,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,XX,,54,,ivory carvings,,,I
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,XX,,15,,ivory pieces,,,I
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,XX,,12,,trophies,,,I
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,XX,,2,,tusks,,,I
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,AT,,1,,ivory carvings,,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,DE,,1,,ivory carvings,,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,,2,,ivory carvings,,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,GB,,122,,ivory carvings,,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,SE,,1,,ivory carvings,,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,XX,,10,,ivory carvings,,,I
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,XX,,4,,tusks,,,I
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,BW,,3,,feet,,H,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,BW,,2,,tusks,,H,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,BW,,2,,tusks,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,DE,XX,6,,ivory carvings,kg,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,DE,XX,2,,ivory carvings,kg,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,DE,XX,3,,ivory carvings,,E,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,GQ,,1,,feet,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,GQ,,2,,tusks,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,LR,,3,,ivory carvings,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,MW,,22,,ivory carvings,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,NG,,16,,ivory carvings,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,NL,XX,1,,tusks,kg,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,TH,XX,350,,ivory carvings,g,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,TH,XX,25,,ivory carvings,kg,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,TH,XX,51,,ivory carvings,kg,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,TH,XX,703,,ivory carvings,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,TH,XX,13974,,ivory carvings,,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,TH,XX,15164,,ivory carvings,,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,US,XX,1,,ivory carvings,kg,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,VN,,10,,ivory carvings,,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,ZA,,1,,ears,,H,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,ZA,,4,,feet,,H,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,ZA,,2,,tusks,,H,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,ZM,,4,,tusks,,H,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,ZW,,11,,feet,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,CH,GB,,114,ivory carvings,,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,CH,XX,,35,ivory carvings,,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,HK,,1,,ivory carvings,sets,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,SE,,,10,ivory carvings,,E,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,XX,,8,,leather items,,,I
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IT,IN,,605,,ivory carvings,,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IT,US,IT,,8,ivory carvings,,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,MX,US,HK,,700,ivory carvings,,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,AF,,59,,ivory carvings,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CH,DE,,1,ivory carvings,,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CH,GB,,7,ivory carvings,,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CH,XX,,1,ivory carvings,pairs,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CH,XX,2,,ivory carvings,,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CM,,6,,ivory carvings,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CN,,8,,ivory carvings,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CN,,1,,ivory carvings,,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CN,,1,,tusks,,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,DE,XX,2,,ivory carvings,,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,DE,,1,,ivory carvings,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,GB,FR,43,,ivory carvings,,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,GB,IN,3,,ivory carvings,,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,GB,XX,3,,ivory carvings,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,GB,XX,5,,ivory carvings,,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,HK,XX,70,,ivory carvings,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,HK,XX,1,,ivory carvings,,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,IN,,56,,ivory carvings,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,IN,,12,,ivory carvings,,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,KY,XX,5,,ivory carvings,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,KY,,3,,ivory carvings,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,LK,XX,1,,ivory carvings,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,MX,XX,2,,ivory carvings,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,NL,XX,1,,ivory carvings,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,NP,XX,7,,ivory carvings,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,SD,,2,,ivory carvings,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,SG,XX,16,,ivory carvings,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,TH,,9,,ivory carvings,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,TH,,211,,ivory carvings,,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,TH,,1,,leather products (small),,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,XX,,3,,ivory carvings,pairs,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,XX,,43,,ivory carvings,,P,
1981,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,XX,,681,,ivory carvings,,,I
1981,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,XX,,1,,leather products (small),,,I
1981,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,XX,,8,,tusks,,,I
1981,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,GB,IN,,2,ivory carvings,,T,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,GB,XX,,9,ivory carvings,,P,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,GB,XX,,2,ivory carvings,,T,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,GB,,54,,ivory carvings,,,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,GB,,9,,ivory pieces,,,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,GB,,3,,unspecified,,,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,SG,,43,,ivory carvings,,,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,SG,,2,,tusks,,,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,FR,,1,,ivory carvings,,P,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,GB,,1,,ivory carvings,,P,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,HK,,2,,tusks,,,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,MU,,6,,ivory carvings,,P,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,SA,,1,,ivory carvings,sets,P,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,US,,66,,live,,,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,CH,,1,,ivory carvings,,,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,,1,,ivory carvings,,,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,GB,XX,,1,ivory carvings,,P,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,GB,XX,,157,ivory carvings,,T,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,GB,,3,,ivory carvings,sets,,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,GB,,1,,ivory carvings,shipments,,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,GB,,54,,ivory carvings,,,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,MY,,1,,ivory carvings,,,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,TH,,15,,ivory carvings,kg,,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,TH,,19,,ivory carvings,,,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,TR,,1,,ivory carvings,,,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,US,,2,,ivory carvings,,,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,XX,,40,,ivory carvings,,,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,CH,HK,,80,ivory carvings,,,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,CH,XX,,2,ivory carvings,,,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,GB,XX,,23,ivory carvings,,T,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,ES,GB,XX,,7,ivory carvings,,T,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,GB,XX,,3,ivory carvings,,T,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,BE,XX,2,,ivory carvings,,T,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,CA,XX,8,,ivory carvings,,T,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,CH,GB,,105,ivory carvings,,,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,CH,IT,,1,ivory carvings,,,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,CH,XX,14,,ivory carvings,,T,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,CH,XX,,99,ivory carvings,,,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,DE,XX,5,,ivory carvings,,T,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,DK,XX,1,,ivory carvings,sets,T,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,ES,XX,4,,ivory carvings,,P,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,FR,XX,4,,ivory carvings,,S,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,HK,XX,23,,ivory carvings,,T,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,IE,XX,34,,ivory carvings,,P,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,IN,,3,,ivory carvings,,P,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,NL,XX,46,,ivory carvings,,T,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,SE,XX,44,,ivory carvings,,T,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,US,XX,2,,ivory carvings,,P,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,US,XX,136,,ivory carvings,,T,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,VN,,1,,leather products (small),,P,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,ZW,,2,,ivory carvings,,P,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IN,GB,XX,,410,ivory carvings,kg,T,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,KW,GB,XX,,1,ivory carvings,,P,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,OM,GB,XX,,1,ivory carvings,,P,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CD,,1,,ivory carvings,,P,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CH,XX,2,,ivory carvings,,P,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CH,XX,,1,ivory carvings,,,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,EG,US,1,,ivory carvings,,P,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,GB,XX,2,232,ivory carvings,,T,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,HK,XX,1,,ivory carvings,,T,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,LR,,1,,ivory carvings,,S,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,SA,XX,1,,ivory carvings,,P,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,XX,IN,1,,ivory carvings,,P,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,XX,,5,,ivory carvings,,P,
1981,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,XX,,1,,ivory carvings,,T,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,CH,XX,,5,ivory carvings,,,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,CH,,35,,ivory carvings,,P,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,DE,IN,6,,ivory carvings,,P,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,DE,,12,,ivory carvings,,P,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,DE,,4,,skin pieces,,P,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,GB,XX,2,,ivory carvings,,P,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,GB,,10,,ivory carvings,,P,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,KE,,1,,feet,,P,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,LK,,5,,ivory carvings,,P,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,MY,,1,,ivory carvings,,P,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,ZA,,33,,ivory carvings,,P,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,ZA,,1,,leather products (small),,P,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,ZW,,4,,leather products (small),,P,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,ZW,,1,,leather items,,P,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,CN,,1,,ivory carvings,,,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,GB,,1,,ivory carvings,,,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,HK,,3,,ivory carvings,,,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,LK,,1,,ivory carvings,,,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,US,,57,,live,,,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,XX,,1,,feet,,,I
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,XX,,213,,ivory carvings,pairs,,I
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,XX,,10,,ivory carvings,sets,,I
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,XX,,2812,,ivory carvings,,,I
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,XX,,118,,ivory pieces,,,I
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,XX,,19,,leather products (small),,,I
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,XX,,15,,tusks,,,I
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,XX,,43,,unspecified,,,I
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,CN,XX,69,,ivory carvings,kg,,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,DE,XX,6,,ivory carvings,kg,,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,10,,tusks,,,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,GB,XX,300,,ivory carvings,g,,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,US,XX,900,,ivory carvings,g,,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,VE,XX,1,,ivory carvings,,,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,XX,,83,,ivory carvings,kg,,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,CH,XX,,71,ivory carvings,,,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,CH,XX,,25,ivory carvings,boxes,,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,CH,XX,,299,ivory carvings,,,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,AU,,,1,ivory carvings,,P,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,AU,XX,,1,ivory carvings,,P,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CA,,1,,skin pieces,,T,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CH,XX,,11,ivory carvings,,,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CN,,5,,ivory carvings,,P,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CN,,55,,ivory carvings,,,I
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,FR,XX,31,,leather products (small),,,I
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,GB,XX,3,,ivory carvings,,P,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,GB,XX,9,,ivory carvings,,T,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,HK,XX,3,,ivory carvings,,T,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,HK,XX,3,,ivory carvings,,,I
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,IN,,11,,ivory carvings,,P,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,MU,,6,,ivory carvings,,P,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,VN,CN,2,,tusks,,P,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,XX,IN,4,,ivory carvings,,P,
1982,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,XX,,19,,ivory carvings,,P,
